Name ,Weight (%),Market Value,Sector,ISIN,Country
SOFTBANK CORP,0.07,"USD 4,311,979.51",Communication,JP3732000009,JP
DAIICHI SANKYO LTD,0.07,"USD 4,308,460.13",Health Care,JP3475350009,JP
MATCH GROUP INC,0.07,"USD 4,305,760.11",Communication,US57667L1070,US
EXPERIAN PLC,0.07,"USD 4,294,888.56",Industrials,GB00B19NLV48,GB
CANADIAN NATURAL RESOURCES LTD,0.07,"USD 4,290,745.00",Energy,CA1363851017,CA
SBA COMMUNICATIONS REIT CORP CLASS,0.07,"USD 4,286,492.14",Real Estate,US78410G1040,US
COGNIZANT TECHNOLOGY SOLUTIONS COR,0.07,"USD 4,277,985.28",Information Technology,US1924461023,US
BARCLAYS PLC,0.07,"USD 4,270,504.85",Financials,GB0031348658,GB
PALANTIR TECHNOLOGIES INC CLASS A,0.07,"USD 4,265,235.40",Information Technology,US69608A1088,US
DIGITAL REALTY TRUST REIT INC,0.07,"USD 4,250,608.88",Real Estate,US2538681030,US
MITSUBISHI CORP,0.07,"USD 4,233,281.49",Industrials,JP3898400001,JP
FUJITSU LTD,0.07,"USD 4,219,227.78",Information Technology,JP3818000006,JP
SEMPRA,0.07,"USD 4,209,746.32",Utilities,US8168511090,US
MARRIOTT INTERNATIONAL INC CLASS A,0.07,"USD 4,205,992.28",Consumer Discretionary,US5719032022,US
KONINKLIJKE PHILIPS NV,0.07,"USD 4,184,675.10",Health Care,NL0000009538,NL
MARATHON PETROLEUM CORP,0.07,"USD 4,157,926.43",Energy,US56585A1025,US
RESMED INC,0.07,"USD 4,155,038.94",Health Care,US7611521078,US
INVESTOR CLASS B,0.07,"USD 4,134,843.68",Financials,SE0015811963,SE
APTIV PLC,0.07,"USD 4,133,664.65",Consumer Discretionary,JE00B783TY65,JE
CRH PLC,0.07,"USD 4,124,484.94",Materials,IE0001827041,IE
FAST RETAILING LTD,0.07,"USD 4,099,419.00",Consumer Discretionary,JP3802300008,JP
SAFRAN SA,0.07,"USD 4,094,180.93",Industrials,FR0000073272,FR
VEEVA SYSTEMS INC CLASS A,0.07,"USD 4,089,952.30",Health Care,US9224751084,US
COMPAGNIE DE SAINT GOBAIN SA,0.07,"USD 4,078,002.33",Industrials,FR0000125007,FR
FORTINET INC,0.07,"USD 4,051,658.61",Information Technology,US34959E1091,US
SCHLUMBERGER NV,0.07,"USD 4,037,722.36",Energy,AN8068571086,AN
DBS GROUP HOLDINGS LTD,0.07,"USD 4,036,779.78",Financials,SG1L01001701,SG
MANULIFE FINANCIAL CORP,0.07,"USD 4,034,058.13",Financials,CA56501R1064,CA
PRUDENTIAL FINANCIAL INC,0.07,"USD 4,033,532.80",Financials,US7443201022,US
XILINX INC,0.07,"USD 4,030,294.72",Information Technology,US9839191015,US
ROCKWELL AUTOMATION INC,0.06,"USD 4,021,384.53",Industrials,US7739031091,US
PARTNERS GROUP HOLDING AG,0.06,"USD 4,009,627.37",Financials,CH0024608827,CH
ASHTEAD GROUP PLC,0.06,"USD 4,000,632.51",Industrials,GB0000536739,GB
KONINKILIJKE DSM NV,0.06,"USD 3,995,798.25",Materials,NL0000009827,NL
INTERNATIONAL FLAVORS & FRAGRANCES,0.06,"USD 3,989,882.88",Materials,US4595061015,US
PARKER-HANNIFIN CORP,0.06,"USD 3,989,532.12",Industrials,US7010941042,US
METTLER TOLEDO INC,0.06,"USD 3,980,932.50",Health Care,US5926881054,US
DASSAULT SYSTEMES,0.06,"USD 3,973,874.08",Information Technology,FR0014003TT8,FR
MITSUI LTD,0.06,"USD 3,942,124.53",Industrials,JP3893600001,JP
ALLSTATE CORP,0.06,"USD 3,933,316.92",Financials,US0200021014,US
EPAM SYSTEMS INC,0.06,"USD 3,911,975.22",Information Technology,US29414B1044,US
VESTAS WIND SYSTEMS,0.06,"USD 3,909,417.93",Industrials,DK0061539921,DK
ELECTRONIC ARTS INC,0.06,"USD 3,907,695.60",Communication,US2855121099,US
NUTRIEN LTD,0.06,"USD 3,901,011.42",Materials,CA67077M1086,CA
CINTAS CORP,0.06,"USD 3,890,302.56",Industrials,US1729081059,US
CONSTELLATION BRANDS INC CLASS A,0.06,"USD 3,885,367.00",Consumer Staples,US21036P1084,US
OTIS WORLDWIDE CORP,0.06,"USD 3,869,961.55",Industrials,US68902V1070,US
AFLAC INC,0.06,"USD 3,851,507.58",Financials,US0010551028,US
MONSTER BEVERAGE CORP,0.06,"USD 3,831,858.64",Consumer Staples,US61174X1090,US
KONINKLIJKE AHOLD DELHAIZE NV,0.06,"USD 3,812,661.14",Consumer Staples,NL0011794037,NL
SYSCO CORP,0.06,"USD 3,811,288.17",Consumer Staples,US8718291078,US
YUM BRANDS INC,0.06,"USD 3,800,220.24",Consumer Discretionary,US9884981013,US
ITOCHU CORP,0.06,"USD 3,765,368.96",Industrials,JP3143600009,JP
GENERAL MILLS INC,0.06,"USD 3,761,896.80",Consumer Staples,US3703341046,US
DUPONT DE NEMOURS INC,0.06,"USD 3,749,105.51",Materials,US26614N1028,US
HILTON WORLDWIDE HOLDINGS INC,0.06,"USD 3,745,294.20",Consumer Discretionary,US43300A2033,US
CAPGEMINI,0.06,"USD 3,739,042.77",Information Technology,FR0000125338,FR
ALIMENTATION COUCHE TARD SUB VOTIN,0.06,"USD 3,737,833.17",Consumer Staples,CA01626P4033,CA
WELLTOWER INC,0.06,"USD 3,728,976.48",Real Estate,US95040Q1040,US
INDUSTRIA DE DISENO TEXTIL INDITEX,0.06,"USD 3,722,701.72",Consumer Discretionary,ES0148396007,ES
TOKIO MARINE HOLDINGS INC,0.06,"USD 3,696,303.58",Financials,JP3910660004,JP
NIPPON TELEGRAPH AND TELEPHONE COR,0.06,"USD 3,690,289.58",Communication,JP3735400008,JP
COMPASS GROUP PLC,0.06,"USD 3,678,068.37",Consumer Discretionary,GB00BD6K4575,GB
ROKU INC CLASS A,0.06,"USD 3,674,319.44",Communication,US77543R1023,US
BARRICK GOLD CORP,0.06,"USD 3,668,212.42",Materials,CA0679011084,CA
DISCOVER FINANCIAL SERVICES,0.06,"USD 3,665,148.96",Financials,US2547091080,US
WALGREEN BOOTS ALLIANCE INC,0.06,"USD 3,659,561.92",Consumer Staples,US9314271084,US
ERICSSON B,0.06,"USD 3,641,499.34",Information Technology,SE0000108656,SE
M3 INC,0.06,"USD 3,638,570.84",Health Care,JP3435750009,JP
FUJIFILM HOLDINGS CORP,0.06,"USD 3,628,656.39",Information Technology,JP3814000000,JP
CONSTELLATION SOFTWARE INC,0.06,"USD 3,622,451.10",Information Technology,CA21037X1006,CA
MIZUHO FINANCIAL GROUP INC,0.06,"USD 3,596,747.68",Financials,JP3885780001,JP
CUMMINS INC,0.06,"USD 3,592,793.00",Industrials,US2310211063,US
HP INC,0.06,"USD 3,589,590.55",Information Technology,US40434L1052,US
CBRE GROUP INC CLASS A,0.06,"USD 3,577,090.02",Real Estate,US12504L1098,US
COSTAR GROUP INC,0.06,"USD 3,574,900.50",Industrials,US22160N1090,US
CENTENE CORP,0.06,"USD 3,568,007.22",Health Care,US15135B1017,US
AUTOZONE INC,0.06,"USD 3,547,911.84",Consumer Discretionary,US0533321024,US
WOOLWORTHS GROUP LTD,0.06,"USD 3,543,756.25",Consumer Staples,AU000000WOW2,AU
PPG INDUSTRIES INC,0.06,"USD 3,537,314.41",Materials,US6935061076,US
PAYCHEX INC,0.06,"USD 3,529,699.83",Information Technology,US7043261079,US
AMERICAN WATER WORKS INC,0.06,"USD 3,529,569.35",Utilities,US0304201033,US
ARCHER DANIELS MIDLAND,0.06,"USD 3,520,688.76",Consumer Staples,US0394831020,US
FERGUSON PLC,0.06,"USD 3,518,951.82",Industrials,JE00BJVNSS43,JE
WASTE CONNECTIONS INC,0.06,"USD 3,510,611.88",Industrials,CA94106B1013,CA
LONDON STOCK EXCHANGE GROUP PLC,0.06,"USD 3,500,238.58",Financials,GB00B0SWJX34,GB
CELLNEX TELECOM SA,0.06,"USD 3,484,674.25",Communication,ES0105066007,ES
SEVEN & I HOLDINGS LTD,0.06,"USD 3,478,151.79",Consumer Staples,JP3422950000,JP
MCKESSON CORP,0.06,"USD 3,474,814.98",Health Care,US58155Q1031,US
SVB FINANCIAL GROUP,0.06,"USD 3,470,153.56",Financials,US78486Q1013,US
KINDER MORGAN INC,0.06,"USD 3,441,126.78",Energy,US49456B1017,US
NUCOR CORP,0.06,"USD 3,426,924.17",Materials,US6703461052,US
VONOVIA SE,0.06,"USD 3,426,394.85",Real Estate,DE000A1ML7J1,DE
CORTEVA INC,0.06,"USD 3,417,275.19",Materials,US22052L1044,US
VOLVO CLASS B,0.06,"USD 3,412,513.45",Industrials,SE0000115446,SE
AMERIPRISE FINANCE INC,0.05,"USD 3,374,327.53",Financials,US03076C1062,US
XCEL ENERGY INC,0.05,"USD 3,355,163.35",Utilities,US98389B1008,US
ORIENTAL LAND LTD,0.05,"USD 3,352,028.91",Consumer Discretionary,JP3198900007,JP
PIONEER NATURAL RESOURCE,0.05,"USD 3,351,692.50",Energy,US7237871071,US
WOLTERS KLUWER NV,0.05,"USD 3,323,123.74",Industrials,NL0000395903,NL
KEYSIGHT TECHNOLOGIES INC,0.05,"USD 3,322,441.80",Information Technology,US49338L1035,US
BMW AG,0.05,"USD 3,274,418.34",Consumer Discretionary,DE0005190003,DE
LEGRAND SA,0.05,"USD 3,274,310.70",Industrials,FR0010307819,FR
WILLIS TOWERS WATSON PLC,0.05,"USD 3,265,966.25",Financials,IE00BDB6Q211,IE
DEUTSCHE BOERSE AG,0.05,"USD 3,243,358.63",Financials,DE0005810055,DE
VERISK ANALYTICS INC,0.05,"USD 3,240,230.40",Industrials,US92345Y1064,US
ENI,0.05,"USD 3,238,606.53",Energy,IT0003132476,IT
FIRST REPUBLIC BANK,0.05,"USD 3,238,804.36",Financials,US33616C1009,US
EQUITY RESIDENTIAL REIT,0.05,"USD 3,230,339.92",Real Estate,US29476L1070,US
FLUTTER ENTERTAINMENT PLC,0.05,"USD 3,210,010.14",Consumer Discretionary,IE00BWT6H894,IE
ALBEMARLE CORP,0.05,"USD 3,208,099.78",Materials,US0126531013,US
DENSO CORP,0.05,"USD 3,203,902.28",Consumer Discretionary,JP3551500006,JP
OKTA INC CLASS A,0.05,"USD 3,199,926.02",Information Technology,US6792951054,US
FIFTH THIRD BANCORP,0.05,"USD 3,185,195.92",Financials,US3167731005,US
D R HORTON INC,0.05,"USD 3,185,455.68",Consumer Discretionary,US23331A1097,US
PUBLIC SERVICE ENTERPRISE GROUP IN,0.05,"USD 3,181,008.40",Utilities,US7445731067,US
KAO CORP,0.05,"USD 3,174,142.46",Consumer Staples,JP3205800000,JP
TERUMO CORP,0.05,"USD 3,170,456.11",Health Care,JP3546800008,JP
KKR AND CO INC,0.05,"USD 3,162,179.70",Financials,US48251W1045,US
ANSYS INC,0.05,"USD 3,162,038.25",Information Technology,US03662Q1058,US
CORNING INC,0.05,"USD 3,161,215.68",Information Technology,US2193501051,US
SYNCHRONY FINANCIAL,0.05,"USD 3,160,057.68",Financials,US87165B1035,US
AVALONBAY COMMUNITIES REIT INC,0.05,"USD 3,142,904.00",Real Estate,US0534841012,US
WILLIAMS INC,0.05,"USD 3,138,699.00",Energy,US9694571004,US
ASTELLAS PHARMA INC,0.05,"USD 3,133,043.60",Health Care,JP3942400007,JP
CDW CORP,0.05,"USD 3,129,438.69",Information Technology,US12514G1085,US
SUN LIFE FINANCIAL INC,0.05,"USD 3,117,109.16",Financials,CA8667961053,CA
PELOTON INTERACTIVE CLASS A INC,0.05,"USD 3,112,225.48",Consumer Discretionary,US70614W1009,US
FASTENAL,0.05,"USD 3,105,822.72",Industrials,US3119001044,US
NOKIA,0.05,"USD 3,097,994.44",Information Technology,FI0009000681,FI
FRANCO NEVADA CORP,0.05,"USD 3,097,018.11",Materials,CA3518581051,CA
EVERSOURCE ENERGY,0.05,"USD 3,095,985.21",Utilities,US30040W1080,US
HEXAGON CLASS B,0.05,"USD 3,085,723.12",Information Technology,SE0015961909,SE
STMICROELECTRONICS NV,0.05,"USD 3,085,967.55",Information Technology,NL0000226223,NL
ASSA ABLOY B,0.05,"USD 3,078,332.37",Industrials,SE0007100581,SE
GEBERIT AG,0.05,"USD 3,077,869.12",Industrials,CH0030170408,CH
EQUIFAX INC,0.05,"USD 3,068,937.07",Industrials,US2944291051,US
LABORATORY CORPORATION OF AMERICA,0.05,"USD 3,066,230.70",Health Care,US50540R4092,US
STATE STREET CORP,0.05,"USD 3,062,693.20",Financials,US8574771031,US
SUNCOR ENERGY INC,0.05,"USD 3,062,916.54",Energy,CA8672241079,CA
COPART INC,0.05,"USD 3,061,163.82",Industrials,US2172041061,US
GENMAB,0.05,"USD 3,050,416.58",Health Care,DK0010272202,DK
MERCK,0.05,"USD 3,041,086.97",Health Care,DE0006599905,DE
HUBSPOT INC,0.05,"USD 3,040,091.25",Information Technology,US4435731009,US
WEST PHARMACEUTICAL SERVICES INC,0.05,"USD 3,016,750.83",Health Care,US9553061055,US
SKYWORKS SOLUTIONS INC,0.05,"USD 3,016,403.28",Information Technology,US83088M1027,US
ARTHUR J GALLAGHER,0.05,"USD 3,014,763.87",Financials,US3635761097,US
FERRARI NV,0.05,"USD 3,011,014.11",Consumer Discretionary,NL0011585146,NL
OVERSEA-CHINESE BANKING LTD,0.05,"USD 3,008,560.78",Financials,SG1S04926220,SG
AMETEK INC,0.05,"USD 3,002,124.06",Industrials,US0311001004,US
ZIMMER BIOMET HOLDINGS INC,0.05,"USD 3,000,797.52",Health Care,US98956P1021,US
PACCAR INC,0.05,"USD 2,993,032.46",Industrials,US6937181088,US
E.ON N,0.05,"USD 2,983,794.42",Utilities,DE000ENAG999,DE
TRANSDIGM GROUP INC,0.05,"USD 2,978,372.64",Industrials,US8936411003,US
HOLCIM LTD AG,0.05,"USD 2,976,823.43",Materials,CH0012214059,CH
PHILLIPS,0.05,"USD 2,961,709.62",Energy,US7185461040,US
WEC ENERGY GROUP INC,0.05,"USD 2,951,817.56",Utilities,US92939U1060,US
EVOLUTION,0.05,"USD 2,942,857.96",Consumer Discretionary,SE0012673267,SE
TRADE DESK INC CLASS A,0.05,"USD 2,930,389.96",Information Technology,US88339J1051,US
TECHTRONIC INDUSTRIES LTD,0.05,"USD 2,917,102.01",Industrials,HK0669013440,HK
LIBERTY BROADBAND CORP SERIES C,0.05,"USD 2,904,474.02",Communication,US5303073051,US
MONGODB INC CLASS A,0.05,"USD 2,897,642.50",Information Technology,US60937P1066,US
ZEBRA TECHNOLOGIES CORP CLASS A,0.05,"USD 2,888,051.58",Information Technology,US9892071054,US
SHISEIDO LTD,0.05,"USD 2,886,134.77",Consumer Staples,JP3351600006,JP
STANLEY BLACK & DECKER INC,0.05,"USD 2,875,162.22",Industrials,US8545021011,US
BALL CORP,0.05,"USD 2,874,782.82",Materials,US0584981064,US
NESTE,0.05,"USD 2,862,384.89",Energy,FI0009013296,FI
DELL TECHNOLOGIES INC CLASS C,0.05,"USD 2,860,832.52",Information Technology,US24703L2025,US
TRANSURBAN GROUP STAPLED UNITS,0.05,"USD 2,858,485.88",Industrials,AU000000TCL6,AU
SANDVIK,0.05,"USD 2,852,037.86",Industrials,SE0000667891,SE
PINTEREST INC CLASS A,0.05,"USD 2,845,990.40",Communication,US72352L1061,US
MITSUBISHI ELECTRIC CORP,0.05,"USD 2,835,703.37",Industrials,JP3902400005,JP
CLOUDFLARE INC CLASS A,0.05,"USD 2,833,884.75",Information Technology,US18915M1071,US
RIO TINTO LTD,0.05,"USD 2,822,363.67",Materials,AU000000RIO1,AU
GOODMAN GROUP UNITS,0.05,"USD 2,818,752.98",Real Estate,AU000000GMG2,AU
VALERO ENERGY CORP,0.05,"USD 2,810,912.13",Energy,US91913Y1001,US
GARTNER INC,0.05,"USD 2,800,112.98",Information Technology,US3666511072,US
LENNAR A CORP,0.05,"USD 2,798,244.35",Consumer Discretionary,US5260571048,US
DOVER CORP,0.05,"USD 2,794,385.10",Industrials,US2600031080,US
SWISS RE AG,0.05,"USD 2,792,137.52",Financials,CH0126881561,CH
EQUINOR,0.04,"USD 2,787,841.89",Energy,NO0010096985,NO
EXTRA SPACE STORAGE REIT INC,0.04,"USD 2,777,567.76",Real Estate,US30225T1025,US
MICHELIN,0.04,"USD 2,773,635.41",Consumer Discretionary,FR0000121261,FR
ETSY INC,0.04,"USD 2,769,278.54",Consumer Discretionary,US29786A1060,US
ORSTED,0.04,"USD 2,763,095.89",Utilities,DK0060094928,DK
SAMPO,0.04,"USD 2,755,532.60",Financials,FI0009003305,FI
PANASONIC CORP,0.04,"USD 2,752,195.43",Consumer Discretionary,JP3866800000,JP
VIVENDI,0.04,"USD 2,747,140.99",Communication,FR0000127771,FR
BRIDGESTONE CORP,0.04,"USD 2,740,348.60",Consumer Discretionary,JP3830800003,JP
ORIX CORP,0.04,"USD 2,732,411.36",Financials,JP3200450009,JP
HEINEKEN NV,0.04,"USD 2,724,404.90",Consumer Staples,NL0000009165,NL
REPUBLIC SERVICES INC,0.04,"USD 2,719,452.96",Industrials,US7607591002,US
TESCO PLC,0.04,"USD 2,701,376.23",Consumer Staples,GB00BLGZ9862,GB
RWE AG,0.04,"USD 2,694,977.79",Utilities,DE0007037129,DE
GENERAC HOLDINGS INC,0.04,"USD 2,694,718.62",Industrials,US3687361044,US
OLD DOMINION FREIGHT LINE INC,0.04,"USD 2,684,480.96",Industrials,US6795801009,US
KUBOTA CORP,0.04,"USD 2,683,958.10",Industrials,JP3266400005,JP
KROGER,0.04,"USD 2,674,500.30",Consumer Staples,US5010441013,US
ENGIE SA,0.04,"USD 2,669,485.98",Utilities,FR0010208488,FR
TRACTOR SUPPLY,0.04,"USD 2,655,451.43",Consumer Discretionary,US8923561067,US
HERSHEY FOODS,0.04,"USD 2,648,960.40",Consumer Staples,US4278661081,US
SHIMANO INC,0.04,"USD 2,641,996.43",Consumer Discretionary,JP3358000002,JP
CHUGAI PHARMACEUTICAL LTD,0.04,"USD 2,638,964.27",Health Care,JP3519400000,JP
NATIONAL BANK OF CANADA,0.04,"USD 2,636,883.92",Financials,CA6330671034,CA
KANSAS CITY SOUTHERN,0.04,"USD 2,631,275.04",Industrials,US4851703029,US
TRANSUNION,0.04,"USD 2,628,685.54",Industrials,US89400J1079,US
AKZO NOBEL NV,0.04,"USD 2,625,485.76",Materials,NL0013267909,NL
CONSOLIDATED EDISON INC,0.04,"USD 2,623,315.45",Utilities,US2091151041,US
CREDIT SUISSE GROUP AG,0.04,"USD 2,623,038.54",Financials,CH0012138530,CH
DEUTSCHE BANK AG,0.04,"USD 2,621,802.62",Financials,DE0005140008,DE
KONE,0.04,"USD 2,621,788.16",Industrials,FI0009013403,FI
BEST BUY INC,0.04,"USD 2,619,420.44",Consumer Discretionary,US0865161014,US
CANON INC,0.04,"USD 2,618,381.44",Information Technology,JP3242800005,JP
DAI-ICHI LIFE HOLDINGS INC,0.04,"USD 2,612,891.72",Financials,JP3476480003,JP
LYONDELLBASELL INDUSTRIES NV CLASS,0.04,"USD 2,604,923.99",Materials,NL0009434992,NL
SSE PLC,0.04,"USD 2,594,331.21",Utilities,GB0007908733,GB
SOCIETE GENERALE SA,0.04,"USD 2,586,193.45",Financials,FR0000130809,FR
MAGNA INTERNATIONAL INC,0.04,"USD 2,585,373.20",Consumer Discretionary,CA5592224011,CA
HARTFORD FINANCIAL SERVICES GROUP,0.04,"USD 2,585,611.14",Financials,US4165151048,US
WEYERHAEUSER REIT,0.04,"USD 2,580,415.68",Real Estate,US9621661043,US
WATER CORP,0.04,"USD 2,580,762.48",Health Care,US9418481035,US
AMADEUS IT GROUP SA,0.04,"USD 2,578,303.48",Information Technology,ES0109067019,ES
KEURIG DR PEPPER INC,0.04,"USD 2,575,813.24",Consumer Staples,US49271V1008,US
ALEXANDRIA REAL ESTATE EQUITIES RE,0.04,"USD 2,565,175.64",Real Estate,US0152711091,US
OLYMPUS CORP,0.04,"USD 2,559,992.68",Health Care,JP3201200007,JP
TELEFONICA SA,0.04,"USD 2,559,643.33",Communication,ES0178430E18,ES
GARMIN LTD,0.04,"USD 2,558,429.51",Consumer Discretionary,CH0114405324,CH
OCCIDENTAL PETROLEUM CORP,0.04,"USD 2,544,579.72",Energy,US6745991058,US
TELEPERFORMANCE,0.04,"USD 2,538,089.00",Industrials,FR0000051807,FR
THOMSON REUTERS CORP,0.04,"USD 2,524,212.55",Industrials,CA8849037095,CA
VERISIGN INC,0.04,"USD 2,511,151.19",Information Technology,US92343E1029,US
ASAHI GROUP HOLDINGS LTD,0.04,"USD 2,495,946.75",Consumer Staples,JP3116000005,JP
JAPAN TOBACCO INC,0.04,"USD 2,494,377.60",Consumer Staples,JP3726800000,JP
ADVANTEST CORP,0.04,"USD 2,493,343.70",Information Technology,JP3122400009,JP
UNITED RENTALS INC,0.04,"USD 2,481,382.40",Industrials,US9113631090,US
CARMAX INC,0.04,"USD 2,471,335.84",Consumer Discretionary,US1431301027,US
DELIVERY HERO,0.04,"USD 2,469,266.14",Consumer Discretionary,DE000A2E4K43,DE
FORTIVE CORP,0.04,"USD 2,466,071.10",Industrials,US34959J1088,US
ONEOK INC,0.04,"USD 2,462,827.68",Energy,US6826801036,US
SPLUNK INC,0.04,"USD 2,462,979.84",Information Technology,US8486371045,US
PPL CORP,0.04,"USD 2,461,707.06",Utilities,US69351T1060,US
MARTIN MARIETTA MATERIALS INC,0.04,"USD 2,458,578.45",Materials,US5732841060,US
VULCAN MATERIALS,0.04,"USD 2,453,219.60",Materials,US9291601097,US
ENTERGY CORP,0.04,"USD 2,446,100.52",Utilities,US29364G1031,US
PAYCOM SOFTWARE INC,0.04,"USD 2,441,025.00",Information Technology,US70432V1026,US
TYSON FOODS INC CLASS A,0.04,"USD 2,434,223.61",Consumer Staples,US9024941034,US
LEGAL AND GENERAL GROUP PLC,0.04,"USD 2,431,331.25",Financials,GB0005603997,GB
UNICREDIT,0.04,"USD 2,428,935.89",Financials,IT0005239360,IT
DTE ENERGY,0.04,"USD 2,423,623.68",Utilities,US2333311072,US
SONOVA HOLDING AG,0.04,"USD 2,422,357.40",Health Care,CH0012549785,CH
CATALENT INC,0.04,"USD 2,416,370.02",Health Care,US1488061029,US
QUEST DIAGNOSTICS INC,0.04,"USD 2,414,745.00",Health Care,US74834L1008,US
AMC ENTERTAINMENT HOLDINGS INC CLA,0.04,"USD 2,412,681.56",Communication,US00165C1045,US
XYLEM INC,0.04,"USD 2,400,346.02",Industrials,US98419M1009,US
ASSICURAZIONI GENERALI,0.04,"USD 2,384,472.01",Financials,IT0000062072,IT
CAESARS ENTERTAINMENT INC,0.04,"USD 2,382,404.01",Consumer Discretionary,US12769G1004,US
CERNER CORP,0.04,"USD 2,381,075.71",Health Care,US1567821046,US
NORTHERN TRUST CORP,0.04,"USD 2,380,590.72",Financials,US6658591044,US
VF CORP,0.04,"USD 2,379,005.92",Consumer Discretionary,US9182041080,US
SKANDINAVISKA ENSKILDA BANKEN,0.04,"USD 2,377,769.57",Financials,SE0000148884,SE
NETAPP INC,0.04,"USD 2,377,470.60",Information Technology,US64110D1046,US
ATLAS COPCO CLASS B,0.04,"USD 2,375,903.53",Industrials,SE0011166628,SE
BAE SYSTEMS PLC,0.04,"USD 2,372,431.52",Industrials,GB0002634946,GB
TRIMBLE INC,0.04,"USD 2,367,527.80",Information Technology,US8962391004,US
ESSEX PROPERTY TRUST REIT INC,0.04,"USD 2,366,999.25",Real Estate,US2971781057,US
DATADOG INC CLASS A,0.04,"USD 2,363,061.57",Information Technology,US23804L1035,US
EUROFINS SCIENTIFIC,0.04,"USD 2,359,320.13",Health Care,FR0014000MR3,FR
REALTY INCOME REIT CORP,0.04,"USD 2,356,187.82",Real Estate,US7561091049,US
HORIZON THERAPEUTICS PUBLIC PLC,0.04,"USD 2,351,041.55",Health Care,IE00BQPVQZ61,IE
VEOLIA ENVIRON. SA,0.04,"USD 2,330,055.57",Utilities,FR0000124141,FR
PERKINELMER INC,0.04,"USD 2,323,542.24",Health Care,US7140461093,US
MCCORMICK & CO NON-VOTING INC,0.04,"USD 2,319,471.60",Consumer Staples,US5797802064,US
VIACOMCBS INC CLASS B,0.04,"USD 2,317,762.81",Communication,US92556H2067,US
UNITED OVERSEAS BANK LTD,0.04,"USD 2,313,602.39",Financials,SG1M31001969,SG
BROWN FORMAN CORP CLASS B,0.04,"USD 2,306,483.72",Consumer Staples,US1156372096,US
HUNTINGTON BANCSHARES INC,0.04,"USD 2,304,475.80",Financials,US4461501045,US
ULTA BEAUTY INC,0.04,"USD 2,303,323.11",Consumer Discretionary,US90384S3031,US
FLEETCOR TECHNOLOGIES INC,0.04,"USD 2,288,322.81",Information Technology,US3390411052,US
ORANGE SA,0.04,"USD 2,284,881.66",Communication,FR0000133308,FR
KRAFT HEINZ,0.04,"USD 2,281,135.60",Consumer Staples,US5007541064,US
AVANTOR INC,0.04,"USD 2,278,224.28",Health Care,US05352A1007,US
WHEATON PRECIOUS METALS CORP,0.04,"USD 2,272,328.26",Materials,CA9628791027,CA
INTERNATIONAL PAPER,0.04,"USD 2,272,059.16",Materials,US4601461035,US
INVITATION HOMES INC,0.04,"USD 2,272,096.00",Real Estate,US46187W1071,US
STERIS,0.04,"USD 2,271,267.36",Health Care,IE00BFY8C754,IE
ALLY FINANCIAL INC,0.04,"USD 2,262,873.69",Financials,US02005N1000,US
CENTRAL JAPAN RAILWAY,0.04,"USD 2,254,554.19",Industrials,JP3566800003,JP
NASDAQ INC,0.04,"USD 2,249,418.24",Financials,US6311031081,US
EXPEDITORS INTERNATIONAL OF WASHIN,0.04,"USD 2,247,127.64",Industrials,US3021301094,US
KEYCORP,0.04,"USD 2,227,218.00",Financials,US4932671088,US
CARVANA CLASS A,0.04,"USD 2,223,916.12",Consumer Discretionary,US1468691027,US
REGIONS FINANCIAL CORP,0.04,"USD 2,218,530.60",Financials,US7591EP1005,US
ARISTA NETWORKS INC,0.04,"USD 2,218,237.28",Information Technology,US0404131064,US
INTACT FINANCIAL CORP,0.04,"USD 2,216,052.67",Financials,CA45823T1066,CA
KERRY GROUP PLC,0.04,"USD 2,210,470.22",Consumer Staples,IE0004906560,IE
COOPER INC,0.04,"USD 2,204,233.59",Health Care,US2166484020,US
ARCELORMITTAL SA,0.04,"USD 2,196,312.36",Materials,LU1598757687,NL
KOMATSU LTD,0.04,"USD 2,194,313.56",Industrials,JP3304200003,JP
A P MOLLER MAERSK B,0.04,"USD 2,190,374.62",Industrials,DK0010244508,DK
EDISON INTERNATIONAL,0.04,"USD 2,185,896.96",Utilities,US2810201077,US
MID AMERICA APARTMENT COMMUNITIES,0.04,"USD 2,178,345.40",Real Estate,US59522J1034,US
ZALANDO,0.04,"USD 2,177,634.49",Consumer Discretionary,DE000ZAL1111,DE
IMPERIAL BRANDS PLC,0.04,"USD 2,174,175.60",Consumer Staples,GB0004544929,GB
FORTESCUE METALS GROUP LTD,0.04,"USD 2,170,086.68",Materials,AU000000FMG4,AU
AVIVA PLC,0.03,"USD 2,167,116.90",Financials,GB0002162385,GB
FIRSTENERGY CORP,0.03,"USD 2,161,252.80",Utilities,US3379321074,US
CLOROX,0.03,"USD 2,154,743.52",Consumer Staples,US1890541097,US
TELADOC HEALTH INC,0.03,"USD 2,155,014.52",Health Care,US87918A1051,US
HESS CORP,0.03,"USD 2,153,781.90",Energy,US42809H1077,US
DOLLAR TREE INC,0.03,"USD 2,153,160.24",Consumer Discretionary,US2567461080,US
EXPEDIA GROUP INC,0.03,"USD 2,152,375.68",Consumer Discretionary,US30212P3038,US
ALNYLAM PHARMACEUTICALS INC,0.03,"USD 2,147,583.40",Health Care,US02043Q1076,US
OMRON CORP,0.03,"USD 2,144,654.38",Information Technology,JP3197800000,JP
